problem,run,generation_window,block,operator,selection_count,selection_probability
T500,1,1800-1850,dev,DE,122,0.305
T500,1,1800-1850,dev,GDE,262,0.655
T500,1,1800-1850,dev,LEVY,16,0.04
T500,1,1800-1850,dev,RESAMPLE,0,0.0
T500,1,1850-1900,offload,GA,118,0.295
T500,1,1850-1900,offload,DE,249,0.6225
T500,1,1850-1900,offload,BITFLIP,32,0.08
T500,1,1850-1900,offload,RESAMPLE,1,0.0025
T500,1,1850-1900,seq,GA,123,0.3075
T500,1,1850-1900,seq,SWAP,165,0.4125
T500,1,1850-1900,seq,VNS,112,0.28
T500,1,1850-1900,seq,RESAMPLE,0,0.0
T500,1,1850-1900,dev,DE,172,0.43
T500,1,1850-1900,dev,GDE,219,0.5475
T500,1,1850-1900,dev,LEVY,9,0.0225
T500,1,1850-1900,dev,RESAMPLE,0,0.0
T500,1,1900-1950,offload,GA,112,0.28
T500,1,1900-1950,offload,DE,205,0.5125
T500,1,1900-1950,offload,BITFLIP,58,0.145
T500,1,1900-1950,offload,RESAMPLE,25,0.0625
T500,1,1900-1950,seq,GA,116,0.29
T500,1,1900-1950,seq,SWAP,149,0.3725
T500,1,1900-1950,seq,VNS,134,0.335
T500,1,1900-1950,seq,RESAMPLE,1,0.0025
T500,1,1900-1950,dev,DE,116,0.29
T500,1,1900-1950,dev,GDE,259,0.6475
T500,1,1900-1950,dev,LEVY,25,0.0625
T500,1,1900-1950,dev,RESAMPLE,0,0.0
T500,1,1950-2000,offload,GA,51,0.1275
T500,1,1950-2000,offload,DE,284,0.71
T500,1,1950-2000,offload,BITFLIP,40,0.1
T500,1,1950-2000,offload,RESAMPLE,25,0.0625
T500,1,1950-2000,seq,GA,84,0.21
T500,1,1950-2000,seq,SWAP,196,0.49
T500,1,1950-2000,seq,VNS,120,0.3
T500,1,1950-2000,seq,RESAMPLE,0,0.0
T500,1,1950-2000,dev,DE,113,0.2825
T500,1,1950-2000,dev,GDE,251,0.6275
T500,1,1950-2000,dev,LEVY,36,0.09
T500,1,1950-2000,dev,RESAMPLE,0,0.0
T500,1,2000-2050,offload,GA,133,0.3325
T500,1,2000-2050,offload,DE,236,0.59
