gen,nsubpop=1 mean,nsubpop=1 var,nsubpop=8 mean,nsubpop=8 var
3950,54.80915,0.0009463544999999882,54.67018,0.0001671955999999961
4000,54.80856,0.0009317663999999788,54.66940999999999,0.00015777890000000325
4050,54.80842,0.0009205355999999807,54.66829,0.00015940289999999668
4100,54.807590000000005,0.0008819909000000251,54.66829,0.00015940289999999668
4150,54.80695000000001,0.000886932500000035,54.66768,0.00014822359999999688
4200,54.80655,0.000892492500000032,54.66736999999999,0.0001478980999999954
4250,54.80621,0.0008775189000000351,54.66703,0.0001380280999999909
4300,54.805960000000006,0.0008594864000000008,54.666999999999994,0.00013923200000000232
4350,54.80494,0.000860052400000043,54.666999999999994,0.00013923200000000232
4400,54.80441,0.0008521709000000185,54.666999999999994,0.00013923200000000232
4450,54.80405,0.0008404205000000052,54.666999999999994,0.00013923200000000232
4500,54.80358,0.0008467276000000192,54.666380000000004,0.0001365535999999821
4550,54.8027,0.000864750000000061,54.66608,0.00013729159999998234
4600,54.802440000000004,0.0008753324000000774,54.66543,0.00016057809999998977
4650,54.802170000000004,0.000875038100000077,54.66476,0.0001686384000000063
4700,54.80171,0.0008501588999999922,54.66473,0.000168722100000005
4750,54.79995,0.0008114425000000484,54.66432,0.00018828759999998018
4800,54.79893,0.0007972601000000391,54.664229999999996,0.000184854099999975
4850,54.79822,0.0008018156000000467,54.66389,0.0002048188999999681
4900,54.79669,0.0008209289000000066,54.66389,0.0002048188999999681
4950,54.795370000000005,0.0008357640999999904,54.66389,0.0002048188999999681
5000,54.79472,0.0008034556000000104,54.66386,0.00020489239999996704
5050,54.794230000000006,0.0008126400999999943,54.66353,0.0002067700999999685
5100,54.79349,0.0008260568999999329,54.66353,0.0002067700999999685
5150,54.791459999999994,0.000797890399999983,54.66304,0.00021016439999998034
5200,54.790409999999994,0.0007621948999999884,54.6626,0.00020278999999998742
5250,54.78967,0.0007250281000000101,54.66229,0.0002057628999999837
5300,54.78958,0.0007150515999999938,54.66229,0.0002057628999999837
5350,54.788940000000004,0.000736766399999957,54.66226,0.00020614239999998727
5400,54.788199999999996,0.0006597619999999903,54.66226,0.00020614239999998727
5450,54.788199999999996,0.0006597619999999903,54.66226,0.00020614239999998727
5500,54.788199999999996,0.0006597619999999903,54.66217,0.0002076660999999893
5550,54.787670000000006,0.0006808400999999848,54.66214,0.00020805639999998366
5600,54.787670000000006,0.0006808400999999848,54.66214,0.00020805639999998366
5650,54.787549999999996,0.0006791384999999889,54.66214,0.00020805639999998366
5700,54.787459999999996,0.0006780323999999873,54.66214,0.00020805639999998366
5750,54.787459999999996,0.0006780323999999873,54.66214,0.00020805639999998366
5800,54.787459999999996,0.0006780323999999873,54.66214,0.00020805639999998366
5850,54.78715,0.0006864364999999968,54.66180000000001,0.000194979999999989
5900,54.786500000000004,0.0006955800000000104,54.66149,0.0001997508999999932
5950,54.7851,0.0007176880000000231,54.661159999999995,0.0001923424000000018
6000,54.78473,0.0007309821000000319,54.66079,0.00018264889999998173
6050,54.784400000000005,0.0007469640000000468,54.66014,0.0001957484000000123
