gen,full_mean,full_var,full_ci95,nocc_mean,nocc_var,nocc_ci95
5500,0.3428616,7.844062399999923e-07,0.0005489421655861362,0.3686016,0.00015581514044000008,0.007736791605790506
5550,0.3428616,7.844062399999923e-07,0.0005489421655861362,0.3685812,0.00015622360556000005,0.007746925862039058
5600,0.3428616,7.844062399999923e-07,0.0005489421655861362,0.3685159,0.00015675795149000003,0.007760163312997891
5650,0.3428616,7.844062399999923e-07,0.0005489421655861362,0.3684363,0.00015725282941000005,0.007772402906832972
5700,0.3428595,7.903116499999902e-07,0.0005510046492217613,0.3683729,0.00015671215269000003,0.007759029615705203
5750,0.3428595,7.903116499999902e-07,0.0005510046492217613,0.3683259,0.00015690063749000004,0.007763694281600636
5800,0.3428575,7.931496499999852e-07,0.0005519930883117961,0.3682789,0.00015788200609000012,0.00778793627731599
5850,0.3428575,7.931496499999852e-07,0.0005519930883117961,0.3682789,0.00015788200609000012,0.00778793627731599
5900,0.34285140000000003,7.765936399999911e-07,0.0005462016227936315,0.3682095,0.00015935233985000006,0.00782411623614936
5950,0.34284939999999997,7.822592399999968e-07,0.0005481903954269892,0.3681319,0.00016068346489000012,0.007856727045796007
6000,0.34284939999999997,7.822592399999968e-07,0.0005481903954269892,0.3681319,0.00016068346489000012,0.007856727045796007
6050,0.34284939999999997,7.822592399999968e-07,0.0005481903954269892,0.368087,0.0001593659148,0.007824449490511648
6100,0.34284939999999997,7.822592399999968e-07,0.0005481903954269892,0.3680604,0.00016022901564,0.007845608876834378
6150,0.34284939999999997,7.822592399999968e-07,0.0005481903954269892,0.3680155,0.00016127624164999994,0.00787120581564629
6200,0.3428289,7.540368899999958e-07,0.0005382107502293115,0.3679358,0.00016214828695999985,0.007892457533528676
6250,0.342788,8.463339999999905e-07,0.0005701996750612862,0.3679072,0.00016283334275999986,0.00790911227349072
6300,0.342788,8.463339999999905e-07,0.0005701996750612862,0.3678827,0.00016343189980999985,0.007923635442838693
6350,0.342788,8.463339999999905e-07,0.0005701996750612862,0.3677846,0.00016077557743999983,0.007858978675969948
6400,0.342788,8.463339999999905e-07,0.0005701996750612862,0.3677335,0.00016186504484999993,0.007885561212087316
6450,0.342788,8.463339999999905e-07,0.0005701996750612862,0.3676804,0.00016332348383999996,0.00792100685216055
6500,0.342788,8.463339999999905e-07,0.0005701996750612862,0.3676273,0.0001633221674099999,0.007920974929402667
6550,0.342788,8.463339999999905e-07,0.0005701996750612862,0.3676028,0.00016259601435999994,0.00790334643531065
6600,0.342786,8.463539999999904e-07,0.0005702064123104863,0.3675538,0.0001637354917599999,0.00793099152152627
6650,0.3427655,9.143422499999934e-07,0.0005926666168766361,0.3675538,0.0001637354917599999,0.00793099152152627
6700,0.3427655,9.143422499999934e-07,0.0005926666168766361,0.3675538,0.0001637354917599999,0.00793099152152627
6750,0.3427655,9.143422499999934e-07,0.0005926666168766361,0.3674802,0.00016546430855999994,0.00797275164396895
6800,0.3427655,9.143422499999934e-07,0.0005926666168766361,0.367423,0.00016570587559999994,0.007978569368658517
6850,0.3427655,9.143422499999934e-07,0.0005926666168766361,0.3673965,0.00016626318384999986,0.007991975019218714
6900,0.3427635,9.213802500000003e-07,0.0005949432215262227,0.3673475,0.00016753914384999983,0.008022582969431723
6950,0.3427635,9.213802500000003e-07,0.0005949432215262227,0.3672698,0.00016933659036000003,0.008065503366355854
7000,0.3427635,9.213802500000003e-07,0.0005949432215262227,0.3672698,0.00016933659036000003,0.008065503366355854
7050,0.3427614,9.149498400000024e-07,0.000592863500760842,0.3672474,0.00016994087964000004,0.008079881702259161
7100,0.3427308,9.536507600000017e-07,0.0006052722329345702,0.3672005,0.00017029915265000012,0.008088394308020847
7150,0.3427063,8.947732099999902e-07,0.0005862900957321352,0.3670778,0.0001709479387600001,0.008103786778663517
7200,0.3426818,8.667609599999902e-07,0.0005770397650020284,0.3670778,0.0001709479387600001,0.008103786778663517
7250,0.3426613,8.886160099999907e-07,0.0005842693954004407,0.3670288,0.00017098800416000005,0.008104736373140438
