gen,bandit_adaptive mean,bandit_adaptive var,random_ops mean,random_ops var,fixed_ops mean,fixed_ops var
1950,0.04238779,1.7447482749e-06,0.04189655,1.1678373624999996e-06,0.043676400000000004,1.7396348680000018e-06
2000,0.04228464,1.7883261144000039e-06,0.04180833,1.1322994540999978e-06,0.043510549999999995,1.7799110005000004e-06
2050,0.04217557,1.8746162421000012e-06,0.0417219,1.1219545500000016e-06,0.04339872,1.7773536335999987e-06
2100,0.04211975,1.8751259805000023e-06,0.04164194,1.1035724803999997e-06,0.043281599999999996,1.8260699640000026e-06
2150,0.042073929999999995,1.7976758601000016e-06,0.04155271,1.1312520349000004e-06,0.04318965,1.857405364499998e-06
2200,0.041992089999999996,1.7655003809000038e-06,0.0414741,1.1223033479999984e-06,0.043078500000000006,1.8631823079999975e-06
2250,0.04192134,1.714500314400004e-06,0.04138386,1.0978646824000004e-06,0.0429726,1.8395863040000017e-06
2300,0.04181123,1.7487500581000032e-06,0.04129768,1.129853591600001e-06,0.04284692,1.8928588195999995e-06
2350,0.04175179,1.7108710909000008e-06,0.04120552,1.0761419556000002e-06,0.04273896,1.8613795683999966e-06
2400,0.04168794,1.7001771943999994e-06,0.04109247,1.0714188600999995e-06,0.04264056,1.8805068604000004e-06
2450,0.04160494,1.5690523883999997e-06,0.04102158,1.0644448095999993e-06,0.04253487,1.8561320301000012e-06
2500,0.04151546,1.586923278399999e-06,0.04094969,1.0440336969000002e-06,0.042467939999999996,1.8009780623999978e-06
2550,0.041446489999999996,1.5563550229000004e-06,0.04089517,1.0502565660999987e-06,0.0423688,1.7899921320000013e-06
2600,0.041411340000000005,1.5078348063999997e-06,0.04082473,1.0393196521e-06,0.04228472,1.8142462055999974e-06
2650,0.04136495,1.5102143264999996e-06,0.040756589999999995,1.0046839208999992e-06,0.04218641,1.8231721689000013e-06
2700,0.0413192,1.508517267999999e-06,0.04070156,1.0060811844000004e-06,0.04209212,1.7931979016000038e-06
2750,0.04126201,1.4475871928999999e-06,0.04062848,9.589549935999979e-07,0.04200895,1.739131566499996e-06
2800,0.04120278,1.457811745599998e-06,0.04055951,9.714456968999995e-07,0.041912109999999995,1.7551983469000005e-06
2850,0.04112946,1.4805591743999996e-06,0.0404958,9.675691700000013e-07,0.041810570000000005,1.781266908099997e-06
2900,0.04107594,1.4432862703999992e-06,0.040429900000000005,9.519740400000017e-07,0.04172099,1.7617929528999963e-06
2950,0.04103578,1.4378309215999992e-06,0.04036866,9.693549023999997e-07,0.04164524,1.7983138243999992e-06
3000,0.04098702,1.4537126196e-06,0.04029423,9.48806080099999e-07,0.041582390000000004,1.8305837269000017e-06
3050,0.04095939,1.4748538229000003e-06,0.04024208,9.512031476000005e-07,0.04150903,1.8122531760999994e-06
3100,0.040904100000000006,1.5022462799999976e-06,0.04019251,9.519884248999993e-07,0.04143923,1.8418807020999973e-06
3150,0.04086148,1.498728977599998e-06,0.04014019,9.726791708999999e-07,0.04137673,1.8437635940999993e-06
3200,0.04082302,1.4974811156e-06,0.0401048,9.85206455999999e-07,0.04130719,1.8264110789000015e-06
3250,0.04078127,1.5192490280999996e-06,0.040056009999999996,9.703805368999994e-07,0.04123831,1.8731048289000003e-06
3300,0.04074394,1.563647764400001e-06,0.04001688,9.658759755999995e-07,0.04117622,1.9175879535999974e-06
3350,0.040690330000000004,1.6283549581e-06,0.03998315,9.446311944999973e-07,0.04111806,1.952884342400004e-06
3400,0.04066347,1.6471504100999992e-06,0.039940130000000004,9.520565580999998e-07,0.041045120000000004,1.9633677576000004e-06
3450,0.04063165,1.6475690664999988e-06,0.0399024,9.538358419999982e-07,0.04098819,1.944505066900002e-06
3500,0.04061446,1.658593072400001e-06,0.03986663,9.371386621000004e-07,0.04093764,1.924684830399999e-06
3550,0.04058986,1.6784386663999984e-06,0.03979293,9.267380521000013e-07,0.04089122,1.9115611796e-06
3600,0.040570659999999995,1.6989649423999972e-06,0.03973976,9.201137284000003e-07,0.04084703,1.9126806380999962e-06
3650,0.0405166,1.6861970279999982e-06,0.039686559999999996,9.386982463999979e-07,0.04078226,1.938616544400002e-06
3700,0.0404729,1.7077576980000011e-06,0.03963467,9.508987961000004e-07,0.04074288,1.9471788356e-06
3750,0.040421429999999994,1.7918447141000025e-06,0.03960333,9.610802021000003e-07,0.040702890000000005,1.9387637268999974e-06
3800,0.040392460000000005,1.8139506184000013e-06,0.039558670000000004,9.926838161000024e-07,0.04064851,1.9663779469000002e-06
3850,0.04032615,1.8500685385000017e-06,0.03949957,1.0633170620999985e-06,0.0406109,1.9397328679999975e-06
3900,0.04028484,1.8861454344000023e-06,0.039450219999999994,1.127760089599998e-06,0.04055445,1.9595574105000024e-06
