gen,CCHIHH_Full mean,CCHIHH_Full var,GDE mean,GDE var,CGA mean,CGA var,IMOMA mean,IMOMA var
7600,0.02658763,8.135644321e-07,0.026468009999999997,1.8594760089999985e-07,0.04053927,5.87396368100001e-07,0.04694155,2.2699217245000007e-06
7650,0.02658085,8.08636892500001e-07,0.0264515,1.853098080000007e-07,0.04051305,6.006340785000001e-07,0.04694155,2.2699217245000007e-06
7700,0.02657288,8.079394976000002e-07,0.02644564,1.8686445840000016e-07,0.04047618,6.017193855999984e-07,0.04694155,2.2699217245000007e-06
7750,0.026562679999999998,8.055140915999994e-07,0.026432129999999998,1.8359401010000027e-07,0.04044345,6.493991225000009e-07,0.046875440000000004,2.1692685884e-06
7800,0.026558019999999998,8.043334535999997e-07,0.02641582,1.898562155999996e-07,0.040425630000000004,6.442336281000002e-07,0.04687382,2.1677896256e-06
7850,0.02654683,8.095331101000009e-07,0.02639022,1.951688896000004e-07,0.04040434,6.338255403999991e-07,0.04687272,2.1668123196e-06
7900,0.02653548,8.108738035999999e-07,0.0263782,1.9900735999999972e-07,0.040366009999999994,6.400910908999985e-07,0.04687272,2.1668123196e-06
7950,0.02652386,8.072130064000001e-07,0.02637258,2.0062122360000028e-07,0.04034411,6.341611768999992e-07,0.04687272,2.1668123196e-06
8000,0.02650768,7.975783375999997e-07,0.026355620000000003,2.0506608760000015e-07,0.04032513,6.350552360999985e-07,0.04685622,2.1610066296e-06
8050,0.02648871,7.919398428999997e-07,0.026340819999999997,2.037345815999998e-07,0.04028955,6.536329505000005e-07,0.04685622,2.1610066296e-06
8100,0.026477030000000002,7.831478061000017e-07,0.026335409999999997,2.0172777490000045e-07,0.04025347,6.469082480999984e-07,0.04685611,2.1608323049000005e-06
8150,0.026465289999999995,7.690674628999997e-07,0.026326320000000004,2.0348972759999975e-07,0.040204580000000004,6.458513296000006e-07,0.04685611,2.1608323049000005e-06
8200,0.026450400000000002,7.565814980000006e-07,0.026316810000000003,2.0124544090000015e-07,0.04019646,6.424136983999983e-07,0.04685611,2.1608323049000005e-06
8250,0.026438,7.558359699999999e-07,0.026306459999999997,2.0242116039999978e-07,0.04016649,6.261313488999995e-07,0.04685611,2.1608323049000005e-06
8300,0.02642763,7.575164341000003e-07,0.026300030000000002,2.052353321000003e-07,0.04013717,6.137909061000002e-07,0.04681985,2.2579206305e-06
8350,0.02641515,7.669259324999995e-07,0.026285239999999998,2.062980103999996e-07,0.04012191,6.075198168999996e-07,0.04681985,2.2579206305e-06
8400,0.02641105,7.681168184999997e-07,0.0262729,2.0255301599999966e-07,0.04009339,6.214976249000003e-07,0.046818700000000005,2.2498147980000014e-06
