gen,bandit_adaptive mean,bandit_adaptive var,fixed_ops mean,fixed_ops var
2800,0.029422379999999998,2.2683457559999973e-07,0.03531706,2.9227340239999925e-07
2850,0.02932476,2.5183042639999925e-07,0.035290260000000004,2.8172729840000005e-07
2900,0.029249340000000002,2.655593184e-07,0.03527004,2.7764659640000045e-07
2950,0.029162630000000002,2.6860218409999964e-07,0.035263260000000005,2.771399903999999e-07
3000,0.029069119999999997,2.7689013760000035e-07,0.03523494,2.9082687839999873e-07
3050,0.02899008,2.7238804959999985e-07,0.03520617,2.885783400999994e-07
3100,0.02891745,2.907702904999997e-07,0.03519176,3.0076692439999916e-07
3150,0.028847489999999996,2.972488709000003e-07,0.03517456,3.1179459439999977e-07
3200,0.028782429999999998,3.0149851409999987e-07,0.035159819999999994,3.1439597360000035e-07
3250,0.028714339999999998,3.0240280240000036e-07,0.03512916,3.1520172239999904e-07
3300,0.028671629999999997,3.1803974610000006e-07,0.035087219999999995,3.2104739159999964e-07
3350,0.028644350000000002,3.3188125249999997e-07,0.03499978,3.5264607160000057e-07
3400,0.02858599,3.306390728999997e-07,0.03496473,3.6124691409999934e-07
3450,0.02853102,3.317302176e-07,0.034947280000000004,3.6039141159999997e-07
3500,0.02849565,3.2996918650000016e-07,0.03493365,3.579030705000004e-07
3550,0.02843834,3.3883161039999965e-07,0.034916340000000004,3.4871163039999933e-07
3600,0.02841163,3.349486481e-07,0.034905229999999995,3.515978121000017e-07
3650,0.028384029999999998,3.402885581000005e-07,0.03487788,3.5987284360000065e-07
3700,0.028330070000000002,3.5189595009999986e-07,0.03486462,3.469109076000014e-07
3750,0.02828144,3.549899804e-07,0.03485141,3.3811291490000134e-07
3800,0.02823853,3.6664979410000014e-07,0.03484314,3.4079209040000054e-07
3850,0.028189380000000003,3.8506842159999953e-07,0.034829,3.406333780000011e-07
3900,0.02815432,3.937026556e-07,0.03481416,3.4872978839999913e-07
3950,0.02810502,4.23977017600001e-07,0.03480515,3.5646252849999933e-07
4000,0.0280657,4.3639291600000116e-07,0.03478084,3.505685083999996e-07
4050,0.028032099999999997,4.415078999999996e-07,0.03475736,3.2196287640000015e-07
4100,0.0279825,4.5837379599999995e-07,0.034719850000000003,2.8449451249999983e-07
4150,0.027944010000000002,4.739619989000004e-07,0.03470864,2.7477155239999933e-07
4200,0.02791495,4.7449144649999986e-07,0.03470094,2.632404124000005e-07
4250,0.02788727,4.523568361000006e-07,0.03468913,2.669310421000008e-07
4300,0.0278415,4.572852900000005e-07,0.034681420000000004,2.723392636000007e-07
4350,0.02780377,4.7411664810000026e-07,0.034669700000000005,2.7592978400000034e-07
4400,0.02777648,4.773608575999995e-07,0.03465781,2.723307409000009e-07
4450,0.02775631,4.799520469e-07,0.03464677,2.667883061000002e-07
4500,0.027741710000000003,4.881028788999999e-07,0.03464189,2.6895213289999997e-07
4550,0.02772213,4.991826041000004e-07,0.03463353,2.696477281e-07
4600,0.02770034,5.149181643999998e-07,0.03462444,2.737173003999998e-07
4650,0.02767772,5.305913235999995e-07,0.03459716,2.723822703999996e-07
4700,0.02764875,5.584364244999998e-07,0.034587610000000005,2.732550148999991e-07
4750,0.027625860000000002,5.767191664000003e-07,0.034579330000000005,2.7313341210000023e-07
4800,0.02759569,6.070775709000003e-07,0.03457018,2.6632730759999886e-07
4850,0.02757983,6.229243600999992e-07,0.03455819,2.7160046089999956e-07
4900,0.027557530000000004,6.328364560999995e-07,0.034549399999999994,2.6833861199999944e-07
4950,0.02752761,6.396923288999995e-07,0.03454352,2.704559355999997e-07
5000,0.027491179999999997,6.379636655999995e-07,0.034533839999999996,2.7394096039999984e-07
5050,0.02746623,6.393436101000006e-07,0.03452714,2.740310244e-07
5100,0.027452880000000002,6.494154896000003e-07,0.03450708,2.7162639959999983e-07
5150,0.027426440000000003,6.688470844000013e-07,0.03450073,2.674083580999993e-07
