gen,CCHIHH_Full mean,CCHIHH_Full var,CGA mean,CGA var,IMOMA mean,IMOMA var,DSAC_DE mean,DSAC_DE var
1400,0.3479285,5.412292499999972e-07,0.376197,2.147696600000003e-06,0.3833025,1.997968050000023e-06,0.3391356,6.897006639999979e-06
1450,0.34771,5.736908000000093e-07,0.3757355,1.93818945e-06,0.3833025,1.997968050000023e-06,0.3389957,6.788719609999971e-06
1500,0.3474897,5.655096099999984e-07,0.3753474,2.105276839999989e-06,0.3832229,1.9786570900000222e-06,0.3388293,6.894965609999949e-06
1550,0.3473199,6.016878900000136e-07,0.3749165,1.797438650000009e-06,0.38314940000000003,1.9728468399999823e-06,0.3387001,6.828500489999984e-06
1600,0.34721989999999997,5.233778900000042e-07,0.3746549,2.0495854899999995e-06,0.3828309,1.7707108899999663e-06,0.3385868,6.79213136000002e-06
1650,0.3470545,5.660684499999939e-07,0.37431800000000004,1.7644289999999972e-06,0.38259410000000005,1.6845108899999835e-06,0.3384121,6.939073689999944e-06
1700,0.346983,5.738261999999973e-07,0.3739156,1.7213162400000053e-06,0.38259410000000005,1.6845108899999835e-06,0.3382426,6.899946240000002e-06
1750,0.3468339,5.270116900000075e-07,0.37350500000000003,1.959276800000004e-06,0.3824878,1.598275359999992e-06,0.3380974,6.917437839999993e-06
1800,0.34665840000000003,4.574410399999973e-07,0.37325179999999997,1.929138759999982e-06,0.3824878,1.598275359999992e-06,0.3379616,6.7568298400000035e-06
1850,0.34650919999999996,5.453343599999932e-07,0.3730129,2.0279256899999893e-06,0.3824878,1.598275359999992e-06,0.3378176,6.571732439999954e-06
1900,0.3463379,4.741632900000061e-07,0.3726474,1.939206239999988e-06,0.38231420000000005,1.739362959999996e-06,0.3376977,6.51287900999997e-06
1950,0.3462152,4.3478655999999736e-07,0.3722369,2.0054338899999862e-06,0.382261,1.7950815999999961e-06,0.3375631,6.581176290000019e-06
2000,0.346107,5.022586000000044e-07,0.3719428,1.9561601599999936e-06,0.38223440000000003,1.7020188399999806e-06,0.33743029999999996,6.57315261e-06
2050,0.3459355,5.198022500000034e-07,0.3716443,1.8645174100000163e-06,0.38223440000000003,1.7020188399999806e-06,0.33730000000000004,6.568754400000032e-06
2100,0.34584760000000003,5.194626400000064e-07,0.3713075,2.4968298500000225e-06,0.382018,2.074116199999982e-06,0.3371683,6.541651809999958e-06
2150,0.3456432,5.223043600000144e-07,0.3710278,2.6081333599999856e-06,0.3819874,2.153180839999993e-06,0.33705609999999997,6.490593490000033e-06
2200,0.34553090000000003,5.65243690000005e-07,0.3708072,2.4588725599999914e-06,0.3819874,2.153180839999993e-06,0.3369333,6.46708501000005e-06
2250,0.3454165,5.502452499999987e-07,0.3705436,2.527950440000006e-06,0.3819036,2.309132639999995e-06,0.33677989999999997,6.277875490000005e-06
2300,0.3453041,4.626570900000014e-07,0.3701923,3.1805658100000084e-06,0.3817912,2.147137760000006e-06,0.33664700000000003,6.26416540000002e-06
2350,0.34525510000000004,4.2864189000000877e-07,0.3699513,3.465770809999968e-06,0.3817912,2.147137760000006e-06,0.3365053,6.161876409999963e-06
2400,0.3452102,3.7564996000000404e-07,0.36976559999999997,3.4014992399999942e-06,0.3817912,2.147137760000006e-06,0.33636750000000004,6.149559049999974e-06
2450,0.3451019,3.5246728999999857e-07,0.36941630000000003,3.604146009999976e-06,0.3815931,1.5390712899999941e-06,0.3362328,6.160560359999976e-06
2500,0.345055,3.026398000000011e-07,0.3692222,3.4661729600000166e-06,0.38157070000000004,1.5388428099999937e-06,0.3360721,6.236044289999994e-06
2550,0.345004,3.565433999999979e-07,0.3689447,3.514318409999973e-06,0.3815626,1.5654780399999929e-06,0.3359478,6.2402361600000126e-06
2600,0.344959,3.5844659999999554e-07,0.3687363,3.887032810000007e-06,0.3815626,1.5654780399999929e-06,0.335826,6.1888650000000265e-06
