gen,stable_true_gate15 mean,stable_true_gate15 var,stable_false mean,stable_false var
3350,0.3441074,3.820956400000031e-07,0.3454146,2.3450592400000103e-06
3400,0.3440808,4.050175600000007e-07,0.3452591,2.1349930900000043e-06
3450,0.34405830000000004,3.837508100000032e-07,0.3451572,1.9336247599999814e-06
3500,0.3440359,4.1010889000000546e-07,0.3450816,1.960608639999989e-06
3550,0.3440093,4.3358120999999904e-07,0.3449571,2.134682489999998e-06
3600,0.3439665,4.421886499999949e-07,0.3448509,1.934010490000008e-06
3650,0.3438787,4.49527210000003e-07,0.3448201,1.8906980900000004e-06
3700,0.3438582,4.375531600000027e-07,0.3446548,1.7357623600000006e-06
3750,0.3438582,4.375531600000027e-07,0.3445709,1.7520748900000005e-06
3800,0.34383559999999996,4.1632704000000056e-07,0.344375,1.566672599999991e-06
3850,0.3437682,3.9139835999998926e-07,0.344281,1.7081885999999832e-06
3900,0.34376419999999996,3.892239599999902e-07,0.3442115,1.6304486499999807e-06
3950,0.3437398,3.971735599999944e-07,0.3441278,1.5158579599999838e-06
4000,0.34369489999999997,4.004152899999957e-07,0.3440402,1.4983467599999766e-06
4050,0.34365199999999996,4.289847999999969e-07,0.3439646,1.4880572399999785e-06
4100,0.34362539999999997,4.517384399999958e-07,0.3439155,1.4485112499999953e-06
4150,0.3435826,4.720352399999923e-07,0.343852,1.4061859999999896e-06
4200,0.3435581,4.309978899999967e-07,0.3438234,1.4115404400000001e-06
4250,0.34347019999999995,4.800667600000015e-07,0.3437765,1.460976050000003e-06
4300,0.3434293,4.6039381000000234e-07,0.3436909,1.4709342899999981e-06
4350,0.3433619,5.255974899999944e-07,0.3436663,1.470467209999993e-06
4400,0.3433415,5.40926049999993e-07,0.3436214,1.5852704399999846e-06
4450,0.3432986,5.788886399999949e-07,0.343556,1.5327875999999872e-06
4500,0.3432986,5.788886399999949e-07,0.34351319999999996,1.5401653599999837e-06
4550,0.3432128,6.323343600000043e-07,0.3434641,1.5422104899999907e-06
4600,0.3431822,6.928171600000024e-07,0.3434151,1.6360910900000004e-06
4650,0.3431516,6.776334400000034e-07,0.3433232,1.604383759999997e-06
4700,0.3431311,7.011612899999983e-07,0.3432375,1.5821554500000028e-06
4750,0.3431311,7.011612899999983e-07,0.343213,1.6924422000000003e-06
4800,0.3431107,6.995660099999983e-07,0.343211,1.6958781999999941e-06
4850,0.3430639,7.102220899999922e-07,0.3431886,1.6240100399999933e-06
4900,0.3430618,7.041965599999942e-07,0.34316610000000003,1.6321552899999928e-06
4950,0.3430618,7.041965599999942e-07,0.3431374,1.6322718399999851e-06
5000,0.3430414,7.364530399999918e-07,0.34313530000000003,1.6257822099999875e-06
5050,0.3430414,7.364530399999918e-07,0.34312719999999997,1.6309459599999869e-06
5100,0.342976,7.011599999999875e-07,0.3431231,1.618438089999983e-06
5150,0.3429514,7.027360399999883e-07,0.3431231,1.618438089999983e-06
5200,0.3429514,7.027360399999883e-07,0.3430618,1.656950159999987e-06
5250,0.3429494,7.078216399999934e-07,0.3430618,1.656950159999987e-06
5300,0.3429086,7.864840399999926e-07,0.3430209,1.6497660899999865e-06
5350,0.3429086,7.864840399999926e-07,0.3429943,1.6899542099999871e-06
5400,0.3428616,7.844062399999923e-07,0.342886,1.7972681999999833e-06
5450,0.3428616,7.844062399999923e-07,0.3428656,1.796525639999983e-06
5500,0.3428616,7.844062399999923e-07,0.3428615,1.8053164499999857e-06
5550,0.3428616,7.844062399999923e-07,0.34281459999999997,1.7266740399999924e-06
5600,0.3428616,7.844062399999923e-07,0.3427656,1.530205440000001e-06
5650,0.3428616,7.844062399999923e-07,0.3427656,1.530205440000001e-06
