gen,CCHIHH_Full mean,CCHIHH_Full var,GDE mean,GDE var,CGA mean,CGA var,IMOMA mean,IMOMA var
4850,0.03968319,2.2978809928999964e-06,0.038265919999999995,1.588269863600003e-06,0.05498944,1.5356928904000005e-06,0.05922401000000001,2.6877080189000002e-06
4900,0.03965328,2.350596587599998e-06,0.03823286,1.5859234263999988e-06,0.05490428000000001,1.4319414156000009e-06,0.059157329999999994,2.9592496760999988e-06
4950,0.03963466,2.3781434323999988e-06,0.038214609999999996,1.5851956988999991e-06,0.054809130000000005,1.451157160100002e-06,0.05914244,2.9911240403999978e-06
5000,0.03961806,2.403917562400001e-06,0.038187149999999996,1.5957232225000006e-06,0.05471749,1.4848101989000006e-06,0.059142169999999994,2.9917804400999982e-06
5050,0.03958968,2.4385274476000006e-06,0.03817345,1.6001458864999997e-06,0.05463405,1.5743062744999987e-06,0.05914198,2.991284511599998e-06
5100,0.03957931,2.4573769108999995e-06,0.03814961,1.6057705289000002e-06,0.0545472,1.5011294559999998e-06,0.059139540000000004,2.991406804399998e-06
5150,0.039560490000000004,2.4913674169000004e-06,0.03813285,1.5913625445000006e-06,0.054393449999999996,1.4315344064999956e-06,0.059139540000000004,2.991406804399998e-06
5200,0.039533620000000005,2.533133931600001e-06,0.03810173,1.6446163301000003e-06,0.05430738,1.4047423115999974e-06,0.05905824,3.0555715783999953e-06
5250,0.03951883,2.5647762361000034e-06,0.03808851,1.6336320189000015e-06,0.05421186,1.4181404144000027e-06,0.05905264,3.056682734399995e-06
5300,0.03950152,2.589183491600001e-06,0.038057419999999995,1.6387535415999969e-06,0.05409825,1.4109220184999974e-06,0.05902123,2.8772798581000002e-06
5350,0.0394836,2.6078120540000023e-06,0.03803424,1.659383522399999e-06,0.05401908,1.3901893615999978e-06,0.05900217,2.778808174099997e-06
5400,0.03946003,2.622703476100003e-06,0.038024089999999997,1.6641390729000017e-06,0.05389491,1.4487773588999996e-06,0.05896357,2.790076708099997e-06
5450,0.03942159,2.6702975069000027e-06,0.038000269999999996,1.6514053980999993e-06,0.05383508,1.4428863535999995e-06,0.05894663,2.847838720099997e-06
5500,0.0394025,2.697228754000002e-06,0.03796518,1.6722088296000009e-06,0.05375285,1.432010438500003e-06,0.05889531,2.6192821528999985e-06
5550,0.03937678,2.722136097600002e-06,0.03792889,1.6691692069000004e-06,0.05364018,1.4889811515999994e-06,0.05886515,2.494135770499998e-06
5600,0.039362350000000004,2.749460338500001e-06,0.03789455,1.661966594499999e-06,0.05355022,1.3892114535999989e-06,0.05883621,2.4101894748999987e-06
5650,0.039350829999999996,2.770273956100001e-06,0.0378666,1.6735517480000005e-06,0.05346094,1.4394286143999998e-06,0.05883621,2.4101894748999987e-06
5700,0.03933031,2.788971708900003e-06,0.03785065,1.6804549405000034e-06,0.053377110000000005,1.4797223988999998e-06,0.05882096999999999,2.4363645720999998e-06
5750,0.039311780000000004,2.8220813396000036e-06,0.03784195,1.7003911385000013e-06,0.05325537,1.4526891600999996e-06,0.05882096999999999,2.4363645720999998e-06
5800,0.0392966,2.851486742000002e-06,0.0378111,1.6933471499999971e-06,0.05315716,1.582967738399999e-06,0.05878935,2.4563472085e-06
5850,0.03927833,2.8625783381e-06,0.0377993,1.706554656000002e-06,0.05307226,1.5242098103999988e-06,0.058774440000000004,2.391309084400001e-06
5900,0.039255620000000005,2.898373379600001e-06,0.03777795,1.736182698500002e-06,0.052994770000000004,1.6038083900999985e-06,0.058774440000000004,2.391309084400001e-06
5950,0.03922445,2.9434662465000023e-06,0.03775609,1.745178100900002e-06,0.05290304999999999,1.5960999285e-06,0.058774440000000004,2.391309084400001e-06
6000,0.03920631,2.9812197528999988e-06,0.03775051,1.7410357689e-06,0.05280089,1.5296998828999995e-06,0.058749359999999994,2.4204971884000015e-06
6050,0.03919125,3.015438328499998e-06,0.03772936,1.8034022204000003e-06,0.052701109999999995,1.495352048899998e-06,0.05870027,2.2359213661000006e-06
6100,0.03917738,3.044940749599999e-06,0.03769864,1.7849218643999967e-06,0.05260215,1.4085508224999981e-06,0.058695609999999995,2.232819818900002e-06
6150,0.03916113,3.0659087921000014e-06,0.03767785,1.7822408125000009e-06,0.052522690000000004,1.406672968899999e-06,0.05869242,2.2307391436000016e-06
6200,0.039151000000000005,3.079739926000002e-06,0.03765983,1.7710030161000005e-06,0.052465439999999995,1.3606457064000021e-06,0.058692129999999995,2.231196604100002e-06
6250,0.039136080000000004,3.111072411600001e-06,0.037656220000000004,1.7721087815999985e-06,0.05241508,1.367659421600001e-06,0.05867989999999999,2.2046940920000013e-06
6300,0.03912684,3.1331118204000022e-06,0.0376309,1.760365026e-06,0.05232464999999999,1.4064744964999991e-06,0.0586759,2.217821292000001e-06
