gen,migration_on mean,migration_on var,migration_off mean,migration_off var
7750,1257.027,2422.128100999997,1627.5939999999998,6355.432263999999
7800,1256.716,2437.322683999997,1627.2959999999998,6363.395484000002
7850,1256.583,2440.012781000001,1627.0369999999998,6378.433081000002
7900,1256.011,2462.167849000006,1626.59,6357.3388
7950,1255.384,2477.945544,1626.173,6325.767001000006
8000,1254.931,2486.7988690000034,1625.05,6328.4057999999995
8050,1254.602,2486.6999759999985,1622.211,6086.124828999997
8100,1253.929,2420.643688999998,1621.3809999999999,6216.498689000004
8150,1253.422,2436.914136,1621.062,6197.612736000002
8200,1252.474,2310.7358039999976,1618.273,6075.133241000003
8250,1251.423,2166.3650210000033,1617.057,5994.002501000004
8300,1249.7440000000001,1974.8632039999982,1616.583,5980.8501810000025
8350,1248.533,1855.1551410000004,1615.6399999999999,5981.115020000002
8400,1247.6380000000001,1779.8718360000025,1615.019,5985.082409000002
8450,1246.979,1744.6641489999988,1615.008,5984.089076000002
8500,1244.919,1563.556029000001,1615.008,5984.089076000002
8550,1242.6960000000001,1335.5638039999978,1613.651,5777.891569000002
8600,1241.777,1319.5261409999998,1612.4969999999998,5628.619361000003
8650,1240.851,1250.3480889999992,1609.009,5323.1612490000025
8700,1239.443,1178.6290609999976,1608.374,5291.114704000002
8750,1238.715,1136.2150249999993,1605.874,5235.484704000002
8800,1238.1380000000001,1110.2527760000003,1605.467,5237.076481000002
8850,1237.4389999999999,1076.5997890000015,1605.28,5216.954720000003
8900,1236.3110000000001,1038.9943090000002,1603.654,5142.555104000005
8950,1234.6870000000001,960.1982809999979,1599.896,4945.176304000003
9000,1233.977,925.0899410000007,1599.5049999999999,4940.649785000003
9050,1233.589,917.5308490000018,1599.331,4937.4098090000025
9100,1232.316,864.5284239999999,1599.136,4939.2095240000035
9150,1231.912,863.0104960000008,1598.5610000000001,4915.218629000001
9200,1231.59,856.6803200000006,1597.669,4823.503469000003
9250,1230.691,843.3820489999996,1595.55,4428.8041600000015
9300,1230.326,840.3493039999987,1595.161,4394.717769000003
9350,1229.909,830.6861489999992,1593.78,4218.987700000001
9400,1229.181,814.5319289999984,1592.401,4254.081269000001
9450,1228.768,815.0001159999994,1592.0049999999999,4233.407584999999
9500,1227.824,808.8115239999986,1591.501,4215.529649
9550,1226.105,763.8156249999986,1589.888,4298.942756000002
9600,1225.313,761.4000810000007,1589.143,4282.136901000003
9650,1224.738,745.0332759999995,1588.915,4288.4116250000025
9700,1224.059,724.3629489999992,1588.3319999999999,4316.873276000002
9750,1223.292,692.680596,1587.9379999999999,4329.751856000001
9800,1222.0,687.8990400000014,1587.679,4348.386609000001
9850,1221.285,702.6734049999999,1586.934,4356.687224
9900,1220.839,708.9865289999998,1586.65,4367.496200000003
9950,1220.267,729.804261,1584.584,4430.7125240000005
10000,1219.358,730.942675999999,1584.399,4436.723729000001
